AeroDyn airfoil file Created with QBlade v0.963 64bit on 26.04.2018 at 19:35:40 Compatible with AeroDyn v13.0.
Polar "T1_Re2.000_M0.00_N9.0" on Foil "DU91W2250LM" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
23.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-3.26          Angle of attack for zero Cn for linear Cn curve (deg)
7.49143        Cn slope for zero lift for linear Cn curve (1/rad)
1.2687         Cn at stall value for positive angle of attack for linear Cn curve
-0.7849        Cn at stall value for negative angle of attack for linear Cn curve
-2.00          Angle of attack for minimum CD (deg)
0.0074         Minimum CD value
    -25.00   -1.1856    0.1621
    -24.00   -1.1852    0.1485
    -22.00   -1.1868    0.1220
    -21.00   -1.1866    0.1093
    -20.00   -1.1770    0.0980
    -18.00   -1.1537    0.0768
    -17.00   -1.1372    0.0672
    -16.00   -1.1154    0.0583
    -15.00   -1.0853    0.0506
    -14.00   -1.0597    0.0429
    -13.00   -1.0339    0.0349
    -12.00   -1.0194    0.0270
    -11.00   -0.9898    0.0203
    -10.00   -0.9160    0.0154
     -9.00   -0.7927    0.0123
     -8.00   -0.6503    0.0101
     -7.00   -0.5045    0.0088
     -5.00   -0.2302    0.0077
     -4.00   -0.0971    0.0075
     -3.00    0.0341    0.0074
     -2.00    0.1642    0.0074
     -1.00    0.2933    0.0074
      0.00    0.4214    0.0074
      1.00    0.5485    0.0075
      2.00    0.6745    0.0077
      3.00    0.7992    0.0079
      4.00    0.9224    0.0081
      5.00    1.0447    0.0084
      6.00    1.1641    0.0088
      7.00    1.2770    0.0096
      8.00    1.3648    0.0119
      9.00    1.4302    0.0147
     10.00    1.4698    0.0177
     11.00    1.5071    0.0221
     12.00    1.5456    0.0277
     13.00    1.5677    0.0356
     14.00    1.5811    0.0449
     15.00    1.5923    0.0551
     16.00    1.5955    0.0665
     17.00    1.5990    0.0783
     18.00    1.6002    0.0905
     19.00    1.5979    0.1034
     20.00    1.6004    0.1159
     21.00    1.6077    0.1278
     22.00    1.6129    0.1401
     23.00    1.6138    0.1532
     24.00    1.6052    0.1680
     25.00    1.6101    0.1807
     26.00    1.6120    0.1939
     27.00    1.6094    0.2080
     28.00    1.6060    0.2222
     29.00    1.6001    0.2370
     30.00    1.5951    0.2517
     31.00    1.5907    0.2662
     32.00    1.5868    0.2804
     33.00    1.5852    0.2940
     34.00    1.5835    0.3075
     35.00    1.5768    0.3224
