AeroDyn airfoil file Created with QBlade v0.963 64bit on 26.04.2018 at 19:35:40 Compatible with AeroDyn v13.0.
Polar "T1_Re0.062_M0.00_N9.0" on Foil "NACA64618" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
16.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
3.92           Angle of attack for zero Cn for linear Cn curve (deg)
6.71995        Cn slope for zero lift for linear Cn curve (1/rad)
-0.4159        Cn at stall value for positive angle of attack for linear Cn curve
-0.6475        Cn at stall value for negative angle of attack for linear Cn curve
-4.00          Angle of attack for minimum CD (deg)
0.0381         Minimum CD value
    -24.00   -0.5952    0.2550
    -22.00   -0.5312    0.2353
    -21.00   -0.5000    0.2256
    -20.00   -0.4694    0.2156
    -19.00   -0.4409    0.2058
    -18.00   -0.4105    0.1953
    -17.00   -0.3785    0.1845
    -16.00   -0.3606    0.1754
    -15.00   -0.3286    0.1637
    -14.00   -0.3089    0.1533
    -13.00   -0.2943    0.1433
    -12.00   -0.2912    0.1337
    -11.00   -0.3027    0.1266
    -10.00   -0.3695    0.1242
     -9.00   -0.4013    0.1185
     -8.00   -0.7466    0.0596
     -7.00   -0.6660    0.0473
     -6.00   -0.5601    0.0412
     -5.00   -0.4593    0.0381
     -4.00   -0.4064    0.0381
     -3.00   -0.3859    0.0444
     -2.00   -0.3710    0.0479
      0.00   -0.4151    0.0471
      1.00   -0.3204    0.0487
      2.00   -0.2207    0.0509
      3.00   -0.1183    0.0538
      5.00    0.1378    0.0653
      6.00    0.2513    0.0718
      7.00    0.3418    0.0793
      8.00    0.4589    0.0904
      9.00    0.5079    0.0964
     10.00    0.6667    0.0956
     11.00    0.8148    0.0935
     13.00    1.1717    0.0577
     14.00    1.2203    0.0649
     15.00    1.3135    0.0728
     16.00    1.3260    0.0870
     17.00    1.2679    0.1078
     19.00    0.9147    0.2197
     20.00    0.9434    0.2316
     21.00    0.9794    0.2440
     22.00    1.0053    0.2541
     23.00    1.0406    0.2666
     24.00    1.0603    0.2752
     25.00    1.0866    0.2848
     26.00    1.1151    0.2945
     27.00    1.1401    0.3037
     28.00    1.1660    0.3127
     29.00    1.1913    0.3221
     30.00    1.2120    0.3299
     31.00    1.2333    0.3379
     32.00    1.2542    0.3459
     34.00    0.9003    0.4694
     35.00    0.9038    0.4876
     37.00    0.9077    0.5231
     38.00    0.9080    0.5405
     39.00    0.9067    0.5575
     40.00    0.9045    0.5741
     41.00    0.9008    0.5902
     43.00    0.8902    0.6200
     44.00    0.8833    0.6336
     45.00    0.8753    0.6457
