AeroDyn airfoil file Created with QBlade v0.963 64bit on 26.04.2018 at 19:35:40 Compatible with AeroDyn v13.0.
Polar "T1_Re16.000_M0.00_N9.0" on Foil "DU97W300LM" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
18.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.32          Angle of attack for zero Cn for linear Cn curve (deg)
7.60619        Cn slope for zero lift for linear Cn curve (1/rad)
-1.1008        Cn at stall value for positive angle of attack for linear Cn curve
-1.1407        Cn at stall value for negative angle of attack for linear Cn curve
-5.00          Angle of attack for minimum CD (deg)
0.0062         Minimum CD value
    -25.00   -1.2088    0.1674
    -24.00   -1.1778    0.1590
    -23.00   -1.1311    0.1527
    -22.00   -1.1012    0.1439
    -21.00   -1.0546    0.1373
    -20.00   -1.0259    0.1284
    -19.00   -0.9987    0.1194
    -18.00   -0.9569    0.1120
    -17.00   -0.9385    0.1018
    -16.00   -0.9242    0.0914
    -15.00   -0.9561    0.0763
    -14.00   -1.0065    0.0604
    -13.00   -1.1188    0.0399
    -11.00   -1.1692    0.0079
    -10.00   -1.0308    0.0072
     -9.00   -0.8919    0.0066
     -8.00   -0.7573    0.0064
     -7.00   -0.6224    0.0062
     -6.00   -0.4890    0.0062
     -5.00   -0.3561    0.0062
     -4.00   -0.2233    0.0062
     -3.00   -0.0909    0.0062
     -2.00    0.0426    0.0062
     -1.00    0.1759    0.0062
      0.00    0.3079    0.0063
      2.00    0.5704    0.0066
      3.00    0.7004    0.0067
      4.00    0.8283    0.0070
      5.00    0.9553    0.0072
      7.00    1.1860    0.0093
      8.00    1.2916    0.0107
      9.00    1.3996    0.0116
     10.00    1.5011    0.0126
     11.00    1.5707    0.0141
     12.00    1.6386    0.0160
     13.00    1.7072    0.0184
     14.00    1.7632    0.0220
     15.00    1.8007    0.0277
     16.00    1.8282    0.0350
     17.00    1.8437    0.0440
     18.00    1.8447    0.0551
     19.00    1.8270    0.0685
     20.00    1.7948    0.0841
     22.00    1.7473    0.1143
     23.00    1.7331    0.1286
     24.00    1.7337    0.1410
     25.00    1.7272    0.1544
     26.00    1.7352    0.1657
     27.00    1.7374    0.1778
     28.00    1.7471    0.1888
     29.00    1.7560    0.1995
     30.00    1.7645    0.2102
     31.00    1.7646    0.2221
     32.00    1.7749    0.2321
     33.00    1.7750    0.2436
     34.00    1.7807    0.2538
     35.00    1.7840    0.2642
     36.00    1.7718    0.2770
     38.00    1.7523    0.3014
     39.00    1.7347    0.3149
     40.00    1.7135    0.3291
     41.00    1.7092    0.3393
     42.00    1.6928    0.3520
     43.00    1.6851    0.3619
